id,customer_id,address_type,city,state,zip_code,is_primary
1,1,shipping,Sydney,NSW,2000,1
2,1,billing,Sydney,NSW,2000,1
3,2,shipping,Melbourne,VIC,3000,1
4,3,shipping,Brisbane,QLD,4000,1
5,3,billing,Brisbane,QLD,4000,1
6,4,shipping,Perth,WA,6000,1
7,5,shipping,Adelaide,SA,5000,1
8,6,billing,Sydney,NSW,2001,1
9,7,shipping,Hobart,TAS,7000,1
10,8,shipping,Melbourne,VIC,3001,1
11,9,shipping,Canberra,ACT,2600,1
12,10,shipping,Darwin,NT,0800,1
13,50,billing,Sydney,NSW,2010,1
14,51,shipping,Melbourne,VIC,3002,1
15,52,shipping,Brisbane,QLD,4001,1
16,53,billing,Perth,WA,6001,1
17,54,shipping,Adelaide,SA,5001,1
18,55,shipping,Sydney,NSW,2011,1
19,56,shipping,Melbourne,VIC,3003,1
20,57,billing,Brisbane,QLD,4002,1
21,58,shipping,Perth,WA,6002,1
22,59,shipping,Sydney,NSW,2020,1
23,60,billing,Melbourne,VIC,3004,1
24,61,shipping,Brisbane,QLD,4003,1
25,62,shipping,Adelaide,SA,5002,1
26,63,billing,Sydney,NSW,2021,1
27,64,shipping,Perth,WA,6003,1
28,65,shipping,Melbourne,VIC,3005,1
29,66,billing,Brisbane,QLD,4004,1
30,67,shipping,Sydney,NSW,2022,1
